© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Aryl Hydrocarbon Receptor Signaling	2.57	0.195	2.294	"ALDH1A1,ATR,BAX,CCND2,CDK2,CDKN2A,CHEK1,CHEK2,DHFR,FOS,GSTM1,GSTM2,GSTM5,GSTO2,HSPB7,IL1B,JUN,MGST1,NCOA2,NCOA3,NCOA7,NCOR2,NEDD8,NFIB,NQO1,NRIP1,POLA1,RB1,RBL2,TGFB1,TP53"
P2Y Purigenic Receptor Signaling Pathway	2.57	0.203	2.858	"ADCY3,AKT3,ATF2,CREB3L4,FOS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITGA2B,JUN,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
Sertoli Cell-Sertoli Cell Junction Signaling	2.57	0.184	#NUM!	"ACTB,ACTN1,ACTN2,ACTN4,AFDN,AKT3,ATF2,AXIN1,CLDN18,CLDN2,CLDN8,DLG1,ELK1,EPN3,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,MAP2K3,MAP3K6,MYO7A,NOS1,OCLN,PLS1,PRKAR1B,RAB8B,RAP1A,RAP1B,RAP2A,RRAS,SORBS1,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1"
Glucocorticoid Receptor Signaling	2.53	0.155	#NUM!	"ACTB,AKT3,ARG2,ATP5F1A,CD163,CDK7,CHP1,CHUK,ELK1,ERCC2,ERCC3,FOS,FOXO3,GABPB2,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H5,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,HLTF,HSPA14,HSPA6,HSPA8,IL13RA1,IL1B,IL1R2,IL1RN,IL6ST,IRF3,JUN,KRT10,KRT19,KRT23,KRT34,KRT6B,KRT6C,MED14,MMP1,MMP3,MMP8,MMP9,MNAT1,MT-ND1,MT-ND2,MT-ND6,NCOA2,NCOA3,NCOR1,NCOR2,NDUFAF1,NDUFB8,NDUFV3,NFATC3,NR3C2,NRIP1,PCK1,PDK4,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLAU,POLR2L,PRKAA2,PRKAB1,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SLC37A4,SLPI,SMARCE1,SOS2,SUMO1,TAF10,TAF15,TAF2,TFB2M,TGFB1,TRAF6,TSC22D3,UQCRFS1"
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.52	0.169	3.81	"ACTB,AJUBA,AKT3,ATF2,AXL,BAX,CDH2,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,CXCL12,EZH2,FOS,FOXO3,FZD5,FZD6,FZD7,HNF1A,IL13RA1,IL1B,IL6ST,JUN,LATS1,MAP2K3,MAP2K6,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,PDGFRB,PEX13,PIK3C3,PIK3CB,PIK3R2,PLAU,PRKN,RAP1A,RAP1B,RAP2A,RBPJ,RPS6KB2,RRAS,SOS2,TCF3,TCF7L2,TGFB1,TP53,WNT2B,WNT5A,YY1"
Neutrophil Extracellular Trap Signaling Pathway	2.51	0.162	4.52	"AKT3,ARG2,ATP5F1A,BPI,CAMP,CASP14,CASP2,CASP4,CD209,CHP1,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,CYBB,DEFA1 (includes others),DEFA6,ELANE,FCGR3A/FCGR3B,FGR,FYN,HCK,IL1B,ITGB2,ITPR2,ITPR3,LCAT,LTF,MAP2K3,MAP2K6,MCL1,MLKL,MMP9,MPO,MT-ND1,MT-ND2,MT-ND6,NCF2,NDUFAF1,NDUFB8,NDUFV3,PADI4,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PNPLA8,PRKCE,PRKCG,PRKCI,PRTN3,RIPK3,SIGLEC5,SLC2A1,TIMM8A,TLR8,TOMM34,TOMM40L,UQCRFS1,VSTM1"
Unfolded protein response	2.51	0.222	1.667	"ATF6,CD82,CEBPB,CEBPZ,DNAJA3,DNAJB6,DNAJB9,DNAJC10,DNAJC15,DNAJC19,DNAJC5,DNAJC7,HSPA14,HSPA6,HSPA8,OS9,P4HB,SCAP,SYVN1,VCP"
TR/RXR Activation	2.5	0.226	#NUM!	"ACACA,AKR1C1/AKR1C2,AKT3,BCL3,ENO1,LDLR,NCOA2,NCOA3,NCOA4,NCOR1,NCOR2,PCK1,PIK3C3,PIK3CB,PIK3R2,RAB3B,SLC2A1,STRBP,TBL1XR1"
Apelin Endothelial Signaling Pathway	2.5	0.199	1.964	"ADCY3,AKT3,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HDAC5,JUN,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PRKAA2,PRKAB1,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS"
α-Adrenergic Signaling	2.49	0.211	1.387	"ADCY3,EPM2A,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,PHKG2,PRKAR1B,PRKCE,PRKCG,PRKCI,PYGM,RAP1A,RAP1B,RAP2A,RRAS,SLC8A1"
Synaptogenesis Signaling Pathway	2.43	0.168	1.98	"ADCY3,AFDN,AKT3,ATF2,CADM1,CDH19,CDH2,CDH3,CDH6,CLASP2,CNTNAP2,COMP,CPLX2,CREB3L4,DNAJC5,EPHA2,FGR,FYN,GOSR1,GOSR2,HCK,HSPA8,MAPT,MARCKS,NAP1L1,NAPA,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PRKCE,RAB3A,RAB5B,RAP1A,RAP1B,RAP2A,RASGRF1,RASGRP2,RPS6KB2,RRAS,SHF,SNAP25,SOS2,STX1A,STXBP2,SYN1,SYN2,SYN3,SYT1,SYT7,THBS3,THBS4,WASF1"
IL-8 Signaling	2.42	0.181	3.43	"AKT3,AZU1,BAX,CCND2,CHUK,CYBB,DEFA1 (includes others),FLT1,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITGB2,JUN,MAP4K4,MMP9,MPO,MYL9,NCF2,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,TRAF6"
Germ Cell-Sertoli Cell Junction Signaling	2.39	0.188	#NUM!	"ACTB,ACTN1,ACTN2,ACTN4,AFDN,AXIN1,CDH2,EPN3,MAP2K3,MAP2K6,MAP3K6,MYO7A,PAK6,PIK3C3,PIK3CB,PIK3R2,PLS1,RAB8B,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SORBS1,TGFB1,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1"
3-phosphoinositide Degradation	2.37	0.183	1.961	"ACP1,ACP5,ACP6,ATP1A2,CILP,DUSP11,DUSP6,EPHX2,ILKAP,INPP5B,MINPP1,MTMR6,NUDT14,PALD1,PPM1H,PPM1L,PPP1CC,PPP1R12A,PPP1R12B,PPP1R13B,PPP1R14D,PPP1R3D,PPP1R8,PPP2CA,PPP2CB,PPP2R1B,PTPN13,PTPN2,PTPN7,PTPRM,PTPRN,RNGTT,SGPP1,STYXL2,TNS3"
RAR Activation	2.35	0.18	#NUM!	"ACTB,ADCY3,ADH1B,ADH1C,AKR1C1/AKR1C2,AKT3,ALDH1A1,CARM1,CDK7,CRABP1,CSNK2A1,CSNK2A2,ERCC2,ERCC3,FOS,GTF2H5,HLTF,JUN,MMP1,MNAT1,NCOR1,NCOR2,NR2F2,NR2F6,NRIP1,PIK3CB,PIK3R2,PRKAR1B,PRKCE,PRKCG,PRKCI,SDR16C5,SMAD5,SMARCE1,TGFB1,TNIP1,TRIM24"
Pulmonary Healing Signaling Pathway	2.32	0.181	3	"CTRC,CXCL12,ELANE,FGR,FYN,FZD5,FZD6,FZD7,HCK,HNF1A,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MYD88,NGFR,PRKAA2,PRKAB1,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RBPJ,RRAS,SMAD5,SOS2,TCF3,TCF7L2,TGFB1,TNFRSF1B,WNT2B,WNT5A"
SPINK1 General Cancer Pathway	2.3	0.232	2	"AKT3,MT1E,MT1G,MT1H,MT1X,MT3,PIK3C3,PIK3CB,PIK3R2,PRSS2,PRSS3,RAP1A,RAP1B,RAP2A,RRAS,SPINK1"
Myelination Signaling Pathway	2.29	0.165	3.538	"AKT3,APH1A,ARHGAP9,ATF2,AXIN1,CHD7,CHP1,CREB3L4,CYTH1,ERBB2,FGR,FOS,FYN,FZD5,FZD6,FZD7,GNB1L,HCK,HDAC5,ITGB2,ITGB4,ITGB5,JUN,KLK1,MBP,MTHFD2,NFATC3,NGFR,PDGFRB,PIK3C3,PIK3CB,PIK3R2,PLP1,PRKAR1B,PSEN1,PSEN2,PTPRA,RAP1A,RAP1B,RAP2A,RAPGEF2,RPS6KB2,RRAS,SCD,SLC2A1,SMAD5,SOS2,TCF7L2,TRAF6,WNT2B,WNT5A,XAF1,YY1,ZNF24"
Atherosclerosis Signaling	2.27	0.195	#NUM!	"APOC4,CMA1,COL2A1,CXCL12,IL18,IL1B,IL1RN,IL33,ITGB2,LCAT,LPA,LPL,LYZ,MMP1,MMP3,MMP9,MSR1,ORM1,PLA2G12B,PLA2G2A,PNPLA8,S100A8,SERPINA1,TGFB1,TNFRSF14,TPSAB1/TPSB2"
PPAR Signaling	2.27	0.206	-2.985	"CHUK,FOS,IL18,IL1B,IL1R2,IL1RN,IL33,JUN,MAP4K4,NCOR1,NCOR2,NGFR,NRIP1,PDGFRB,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TNFRSF1B,TRAF6"
Hepatic Fibrosis Signaling Pathway	2.26	0.158	3.207	"AKT3,ATF2,AXIN1,CEBPB,CHUK,COL2A1,CREB3L4,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CYBB,DVL3,ELK1,EZH2,FLT1,FOS,FTL,FZD5,FZD6,FZD7,HNF1A,IL18,IL1B,IL1R2,IL1RN,IL33,IRS2,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,MAP2K3,MAP2K6,MMP1,MYD88,MYL6,MYL9,MYLK,NCF2,NGFR,PDGFRB,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RPS6KB2,RRAS,SOS2,TCF3,TCF7L2,TF,TGFB1,TNFRSF1B,TRAF6,TTN,WNT2B,WNT5A"
MicroRNA Biogenesis Signaling Pathway	2.26	0.182	3.773	"ADAR,AGO3,AKT3,DIS3,EWSR1,EXOSC4,EXOSC5,FUS,GLE1,HSPA8,NDC1,NUP107,NUP188,NUP205,NUP35,NUP42,NUP88,NUP93,PIK3C3,PIK3CB,PIK3R2,POLR2L,POLR3D,POM121/POM121C,RAP1A,RAP1B,RAP2A,RRAS,SMAD5,SRSF1,TGFB1,TP53,TUT7,XPO5"
Colorectal Cancer Metastasis Signaling	2.26	0.17	2.214	"ADCY3,AKT3,AXIN1,BAX,FOS,FZD5,FZD6,FZD7,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HNF1A,IFNGR1,IL6ST,JUN,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MSH3,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PTGS2,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SOS2,TCF3,TCF7L2,TGFB1,TLR8,TP53,WNT2B,WNT5A"
Role of p14/p19ARF in Tumor Suppression	2.25	0.3	0	"CDKN2A,NPM1,PIK3C3,PIK3CB,PIK3R2,POLR3D,RB1,SENP3,TP53"
Proline Biosynthesis I	2.24	0.75	#NUM!	"PYCR1,PYCR2,PYCR3"
Regulation of eIF4 and p70S6K Signaling	2.23	0.182	0.832	"AGO3,AKT3,EIF1AY,EIF2B4,EIF3B,EIF3I,EIF3K,EIF4A1,EIF4A2,EIF4G1,ITGA2B,ITGB2,ITGB4,ITGB5,MKNK1,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RPS10,RPS15,RPS28,RPS29,RPS3,RPS7,RRAS,SOS2"
IL-10 Signaling	2.22	0.188	-1.671	"AKT3,ARG2,ATF2,BCL3,CHUK,CREB3L4,ELK1,FOS,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,IL18,IL1B,IL1R2,IL1RN,IL33,IL6ST,JUN,MAP2K3,MAP2K6,MAP4K4,PKM,PRKAA2,PRKAB1,TRAF6"
Small Cell Lung Cancer Signaling	2.17	0.208	1.941	"AKT3,CCND2,CDK2,CHUK,CKS1B,E2F3,HDAC5,NOS1,PIK3C3,PIK3CB,PIK3R2,PTGS2,RB1,RBL2,SIN3A,TP53,TRAF1,TRAF3,TRAF5,TRAF6"
Androgen Signaling	2.17	0.183	-0.333	"CDK7,ERCC2,ERCC3,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H5,ITPR2,ITPR3,JUN,MNAT1,NCOA2,NCOA4,POLR2L,PRKAR1B,PRKCE,PRKCG,PRKCI,SHBG,TAF10,TAF15,TAF2"
Hereditary Breast Cancer Signaling	2.16	0.19	#NUM!	"ACTB,AKT3,ATR,BLM,CCND2,CDK1,CHEK1,CHEK2,FANCD2,HDAC5,HLTF,NPM1,PIK3C3,PIK3CB,PIK3R2,POLR2L,RAP1A,RAP1B,RAP2A,RB1,RFC2,RFC5,RRAS,SLC19A1,SMARCE1,TP53,TUBG1"
BAG2 Signaling Pathway	2.14	0.214	0.707	"HSPA14,HSPA6,HSPA8,MAPT,PRKN,PSMA3,PSMA6,PSMB1,PSMB5,PSMB9,PSMD11,PSMD5,PSMD7,PSMD8,PSMD9,PSME2,PSME3,TP53"
Ribonucleotide Reductase Signaling Pathway	2.13	0.182	3.286	"ACTB,AKT3,ATF2,ATR,CDH3,CDK1,CDK2,CDKN2A,CHEK1,CREB3L4,E2F3,ERBB2,FOS,FOXO3,GNB1L,HLTF,JUN,MMP9,NFYC,PARP10,PARP12,PARP16,PIK3C3,PIK3CB,PIK3R2,RB1,RRM1,RRM2,SMARCE1,TBRG4,TP53"
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.12	0.218	0	"AXIN1,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,DVL3,FZD5,FZD6,FZD7,HNF1A,NCOA2,NCOA3,NCOA4,TCF3,TCF7L2,WNT2B,WNT5A"
Gap Junction Signaling	2.12	0.177	#NUM!	"ACTB,ADCY3,AKT3,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,GJB1,GJB3,GNAS,ITPR2,ITPR3,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SLC39A7,SOS2,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1"
Endometrial Cancer Signaling	2.1	0.233	2.309	"AKT3,AXIN1,ELK1,ERBB2,FOXO3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TP53"
Acute Myeloid Leukemia Signaling	2.1	0.209	2.183	"AKT3,HNF1A,IDH3G,KIT,KITLG,MAP2K3,MAP2K6,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,RUNX1,SOS2,TCF3,TCF7L2"
Glioblastoma Multiforme Signaling	2.09	0.181	1.512	"AKT3,AXIN1,CCND2,CDK2,CDKN2A,E2F3,FZD5,FZD6,FZD7,ITPR2,ITPR3,PDGFRB,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,RAP1A,RAP1B,RAP2A,RB1,RHOB,RHOT1,RRAS,SOS2,TCF3,TP53,WNT2B,WNT5A"
Ovarian Cancer Signaling	2.07	0.184	1.604	"AKT3,AXIN1,CDKN2A,E2F3,FZD5,FZD6,FZD7,HDAC5,HNF1A,MMP7,MMP9,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PTGS2,RAP1A,RAP1B,RAP2A,RB1,RBL2,RPS6KB2,RRAS,SIN3A,TCF3,TCF7L2,TP53,WNT2B,WNT5A"
Oncostatin M Signaling	2.06	0.256	2.111	"CHI3L1,ELK1,IL6ST,MMP1,MMP3,OSMR,PLAU,RAP1A,RAP1B,RAP2A,RRAS"
mTOR Signaling	2.05	0.173	1.225	"AKT3,ATG13,EIF3B,EIF3I,EIF3K,EIF4A1,EIF4A2,EIF4G1,GNB1L,MAPKAP1,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAA2,PRKAB1,PRKCE,PRKCG,PRKCI,PRR5L,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RICTOR,RPS10,RPS15,RPS28,RPS29,RPS3,RPS6KB2,RPS7,RRAS"
Leukocyte Extravasation Signaling	2.05	0.176	2.921	"ACTB,ACTN1,ACTN2,ACTN4,AFDN,ARHGAP9,CLDN18,CLDN2,CLDN8,CXCL12,CYBB,EDIL3,ITGB2,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MYL6,NCF2,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RDX,THY1,TIMP2,VAV1,WIPF1"
Ferroptosis Signaling Pathway	2.02	0.189	1.043	"ACACA,ARF3,CYBB,DPP4,FANCD2,FTL,GLS2,H2AC21,NCOA4,PHKG2,PRKAA2,PRKAB1,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SLC11A2,SLC1A5,SLC38A1,SLC3A2,SQSTM1,TF,TP53"
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.02	0.296	2.828	"AGPAT2,AGPAT4,AGPAT5,CRLS1,GPAT4,LPCAT1,LPGAT1,PGS1"
Mitochondrial Dysfunction	2.01	0.159	-1.633	"APH1A,ARG2,ATF2,ATP1A2,ATP1A3,ATP5F1A,ATPAF1,ATPAF2,BAX,C9orf72,CHP1,CLIC2,COX11,COX15,COX7C,CREB3L4,CYB5B,FIS1,FUS,GSTM1,GSTM2,HSF1,ITPR2,ITPR3,LRRK2,MAPT,MCU,MGST1,MT-CO3,MT-ND1,MT-ND2,MT-ND6,NDUFAF1,NDUFB8,NDUFV3,NOS1,OPA1,PDHX,PIK3C3,PIK3CB,PIK3R2,PRKAA2,PRKAB1,PRKAR1B,PRKN,PSEN1,PSEN2,RHOT1,TARDBP,TOMM34,TP53,UQCR11,UQCRFS1,UQCRQ,ZNF746"
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.98	0.174	#NUM!	"AKT3,APH1A,AXIN1,BCL9,CDH2,DVL3,FZD5,FZD6,FZD7,HNF1A,LOX,MAP2K3,MAP2K6,MMP9,PARD6B,PDGFRB,PIK3C3,PIK3CB,PIK3R2,PSEN1,PSEN2,PYGO2,RAP1A,RAP1B,RAP2A,RBPJ,RRAS,SMURF1,SOS2,TCF3,TCF7L2,TGFB1,WNT2B,WNT5A"
BER (Base Excision Repair) Pathway	1.98	0.25	2.714	"CDKN2A,MAP2K3,MAP2K6,MBD4,RFC2,RFC5,SLC19A1,TDG,TP53,UNG,XRCC1"
IL-2 Signaling	1.97	0.226	2.714	"AKT3,CSNK2A1,CSNK2A2,ELK1,FOS,JUN,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Assembly of RNA Polymerase II Complex	1.97	0.24	2.887	"CDK7,ERCC2,ERCC3,GTF2E1,GTF2E2,GTF2F1,GTF2H5,MNAT1,POLR2L,TAF10,TAF15,TAF2"
FAT10 Signaling Pathway	1.97	0.232	#NUM!	"PSMA3,PSMA6,PSMB1,PSMB5,PSMB9,PSMD11,PSMD5,PSMD7,PSMD8,PSMD9,PSME2,PSME3,SQSTM1"
p38 MAPK Signaling	1.97	0.192	2.065	"ATF2,CREB3L4,DAXX,ELK1,HSPB7,IL18,IL1B,IL1R2,IL1RN,IL33,MAP2K3,MAP2K6,MAP4K1,MAPKAPK3,MAPT,MKNK1,PLA2G12B,PLA2G2A,RPS6KB2,TGFB1,TNFRSF1B,TP53,TRAF6"
"PD-1, PD-L1 cancer immunotherapy pathway"	1.95	0.196	-2	"AKT3,CD274,CDK2,CIP2A,CSNK2A1,CSNK2A2,ELK1,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,LATS1,NGFR,PIK3C3,PIK3CB,PIK3R2,TGFB1,TNFRSF1B"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.94	0.213	-0.5	"ADCY3,GAL,GCG,GNA14,GNA15,GNAS,ITPR2,ITPR3,PDIA3,PLCB1,PLCB3,PLCZ1,PRKAR1B,PYY,SST,VIP"
Circadian Rhythm Signaling	1.93	0.164	#NUM!	"ADCY3,ATF2,CLOCK,CREB3L4,CSNK1E,CSNK2A1,CSNK2A2,FGR,FYN,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HCK,HSF1,ITPR2,ITPR3,KLK1,MAP2K3,MAP2K6,MKNK1,NGFR,NOS1,PDIA3,PLCB1,PLCB3,PLCZ1,PRKAA2,PRKAB1,PRKAR1B,PRKCE,PRKCG,PRKCI,RACK1,RAP1A,RAP1B,RAP2A,RRAS,SLC39A7,VIP"
Thrombin Signaling	1.93	0.169	2.449	"ADCY3,AKT3,ARHGEF18,ARHGEF2,ELK1,GATA6,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,MPRIP,MYL6,MYL9,MYLK,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PPP1R12A,PPP1R12B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS"
Antigen Presentation Pathway	1.92	0.256	#NUM!	"HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,PDIA3,PSMB5,PSMB9,TAP2"
UVC-Induced MAPK Signaling	1.9	0.235	2.111	"ATR,FOS,JUN,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SMPD4,TP53"
Proline Biosynthesis II (from Arginine)	1.88	0.6	#NUM!	"PYCR1,PYCR2,PYCR3"
Protein Citrullination	1.88	0.6	#NUM!	"PADI2,PADI3,PADI4"
Alanine Degradation III	1.87	1	#NUM!	"GPT,GPT2"
Alanine Biosynthesis II	1.87	1	#NUM!	"GPT,GPT2"
GDP-L-fucose Biosynthesis II (from L-fucose)	1.87	1	#NUM!	"FCSK,FPGT"
AMPK Signaling	1.85	0.165	-0.192	"ACACA,ACTB,AKT3,ATF2,CFTR,CREB3L4,ELAVL1,EPM2A,FOXO3,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HLTF,ILKAP,IRS2,MAP2K3,MLYCD,PFKFB3,PHLPP2,PIK3C3,PIK3CB,PIK3R2,PPAT,PPM1H,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAA2,PRKAB1,PRKAR1B,RAB3A,SLC2A1,SMARCE1,STRADA"
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	1.84	0.239	#NUM!	"AQR,CDX2,FOXA2,NR2F2,NR2F6,PPP1R8,RB1,REST,TASOR,TP53,WWP2"
Antiproliferative Role of Somatostatin Receptor 2	1.83	0.208	1.387	"ELK1,GNB1,GNB1L,GNB3,GNG11,GNG4,NOS1,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SLC39A7,SST"
Superpathway of Cholesterol Biosynthesis	1.82	0.276	2.121	"CYP51A1,DHCR24,EBP,GGPS1,HMGCS2,LBR,MSMO1,SQLE"
IL-33 Signaling Pathway	1.82	0.172	1.976	"AKT3,ATF2,CASP14,CASP2,CASP4,CCL24,CHUK,CMA1,CREB3L4,CTRC,ELANE,FOS,H2AC21,IL18,IL1B,IL1RN,IL33,IRF3,JUN,KIT,KLK6,MMP9,MYD88,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,PTGS2,TMED1,TPSAB1/TPSB2,TPSG1,TRAF6"
Osteoarthritis Pathway	1.82	0.165	2.475	"ACAN,ANKH,ATF2,CASP14,CASP2,CASP4,CEBPB,CHUK,COL2A1,CREB3L4,DCN,ELF3,FOXO3,FZD5,FZD6,FZD7,HNF1A,IL1B,IL1R2,ITGA2B,ITGB2,ITGB4,ITGB5,ITLN1,MMP1,MMP10,MMP3,MMP9,PRKAA2,PRKAB1,PTGS2,RBPJ,S100A8,S100A9,SMAD5,TCF3,TCF7L2,TGFB1,TNFRSF1B"
Phagosome Maturation	1.82	0.177	#NUM!	"ATP6V0A2,ATP6V1G1,CTSE,CYBB,DYNC1H1,DYNC1I2,DYNC1LI1,GOSR1,GOSR2,HLA-A,HLA-DRB1,HLA-DRB4,MPO,NAPA,NCF2,NOS1,PIK3C3,RAB5B,SNAP25,STX1A,TCIRG1,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1,VPS16"
RHOA Signaling	1.8	0.185	0.853	"ACTB,ANLN,ARHGAP9,BAIAP2,KTN1,MPRIP,MYL6,MYL9,MYLK,NEDD4,PIP5K1A,PIP5K1B,PIP5K1C,PPP1R12A,PPP1R12B,RAPGEF2,RAPGEF6,RDX,SEPTIN14,SEPTIN2,SEPTIN3,TTN,WASF1"
Pyridoxal 5'-phosphate Salvage Pathway	1.8	0.215	1.604	"CDK1,CDK2,CDK7,DAPK1,MAP2K3,MAP2K6,MAP3K6,PLK1,PNPO,POMK,PRKAA2,PRKCE,PRPF4B,TTK"
Mouse Embryonic Stem Cell Pluripotency	1.79	0.192	2.236	"AKT3,AXIN1,DVL3,FZD5,FZD6,FZD7,HNF1A,IL6ST,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SMAD5,SOS2,TCF3,TCF7L2,TP53"
"NER (Nucleotide Excision Repair, Enhanced Pathway)"	1.79	0.192	3.051	"CDK7,CHAF1A,CHAF1B,ERCC1,ERCC2,ERCC3,ERCC4,GTF2H5,LIG4,MNAT1,NEDD8,POLA1,POLR2L,PRIM1,RFC2,RFC5,SLC19A1,TOP2A,XAB2,XRCC1"
Neurotrophin/TRK Signaling	1.78	0.205	2	"ATF2,CREB3L4,FOS,JUN,MAP2K3,MAP2K6,NGFR,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,SPRY2"
Virus Entry via Endocytic Pathways	1.77	0.186	#NUM!	"ACTB,AP1M1,AP1S1,AP1S2,AP1S3,AP5M1,AP5Z1,FYN,HLA-A,ITGB2,ITGB4,ITGB5,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS"
