		Acinetobacter baumannii	Yarrowia lipolytica	Human betaherpesvirus 7	Paracoccus pantotrophus	Acinetobacter tandoii	Zymoseptoria tritici	Methanobrevibacter_A smithii_A	Fusobacterium nucleatum	Gemella morbillorum	Thermothelomyces thermophilus	Candidatus Methanomethylophilus alvus	Lachnoanaerobaculum umeaense	Streptococcus mutans	Streptococcus constellatus
D17809	Required for chromosome condensation and partitioning	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D13625	Permease family	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D10645	"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)"	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D3626	Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D2938	binds to the 23S rRNA	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D423	"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D1330	Aminotransferase	0.192941357	0.144767377	0.148682905	0.002392023	0.01551207	0.371239324	0.055846964	0.051030112	8.71E-06	2.94E-05	0.001360427	0.000594072	9.43E-05	3.45E-14
D17875	"Resolvase, N terminal domain"	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D14436	PFAM multi antimicrobial extrusion protein MatE	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D10414	"Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP"	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D8055	Enoyl-(Acyl carrier protein) reductase	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D7086	"DNA topoisomerase, type IA, central domain protein"	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D2370	Belongs to the glycosyl hydrolase 31 family	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D2154	Belongs to the acetylglutamate kinase family. ArgB subfamily	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D1070	Aldo/keto reductase family	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D1989	Bacterial mobilisation protein (MobC)	0.187143084	0.140777102	0.148682905	0.002399372	0.014683541	0.344545604	0.055369156	0.052908361	1.23E-05	3.63E-05	0.001554803	0.000706476	9.64E-05	8.60E-14
D21165	"Transcriptional regulatory protein, C terminal"	0.188292585	0.148343189	0.148682905	0.002428971	0.01551207	0.344545604	0.055607643	0.054353687	7.26E-06	3.68E-05	0.001540391	0.000677587	9.64E-05	9.08E-14
D13305	PAS domain	0.188292585	0.148343189	0.148682905	0.002428971	0.01551207	0.344545604	0.055607643	0.054353687	7.26E-06	3.68E-05	0.001540391	0.000677587	9.64E-05	9.08E-14
D1182	Alpha-amylase domain	0.188292585	0.148343189	0.148682905	0.002428971	0.01551207	0.344545604	0.055607643	0.054353687	7.26E-06	3.68E-05	0.001540391	0.000677587	9.64E-05	9.08E-14
D452	AAA-like domain	0.188292585	0.148343189	0.148682905	0.002428971	0.01551207	0.344545604	0.055607643	0.054353687	7.26E-06	3.68E-05	0.001540391	0.000677587	9.64E-05	9.08E-14
D584	"ABC-type multidrug transport system, ATPase component"	0.188292585	0.148343189	0.148682905	0.002428971	0.01551207	0.344545604	0.055607643	0.054353687	7.26E-06	3.68E-05	0.001540391	0.000677587	9.64E-05	9.08E-14
D21208	Transglutaminase-like superfamily	0.188580752	0.144767377	0.148682905	0.002436422	0.01551207	0.371239324	0.055966937	0.053506729	8.91E-06	3.61E-05	0.00153323	0.000684707	0.000133908	8.60E-14
D1076	Aldose 1-epimerase	0.188580752	0.144767377	0.148682905	0.002436422	0.01551207	0.371239324	0.055966937	0.053506729	8.91E-06	3.61E-05	0.00153323	0.000684707	0.000133908	8.60E-14
D9953	His Kinase A (phosphoacceptor) domain	0.188580752	0.144767377	0.148682905	0.002436422	0.01551207	0.371239324	0.055966937	0.053506729	8.91E-06	3.61E-05	0.00153323	0.000684707	0.000133908	8.60E-14
D9122	glutamine synthetase	0.188004735	0.141016565	0.148682905	0.002421541	0.015092926	0.371239324	0.055846964	0.052789344	1.16E-05	3.58E-05	0.001540391	0.000699151	0.000133908	8.37E-14
D16107	Prephenate dehydratase	0.188004735	0.141016565	0.148682905	0.002421541	0.015092926	0.371239324	0.055846964	0.052789344	1.16E-05	3.58E-05	0.001540391	0.000699151	0.000133908	8.37E-14
D12670	NlpC/P60 family	0.1868565	0.144279258	0.148682905	0.002392023	0.014683541	0.319079235	0.055012984	0.053747614	1.01E-05	3.71E-05	0.001562055	0.000699151	6.89E-05	9.08E-14
D5172	COG0534 Na -driven multidrug efflux pump	0.1868565	0.144279258	0.148682905	0.002392023	0.014683541	0.319079235	0.055012984	0.053747614	1.01E-05	3.71E-05	0.001562055	0.000699151	6.89E-05	9.08E-14
D4062	cheY-homologous receiver domain	0.1868565	0.144279258	0.148682905	0.002392023	0.014683541	0.319079235	0.055012984	0.053747614	1.01E-05	3.71E-05	0.001562055	0.000699151	6.89E-05	9.08E-14
D302	4Fe-4S binding domain	0.1868565	0.144279258	0.148682905	0.002392023	0.014683541	0.319079235	0.055012984	0.053747614	1.01E-05	3.71E-05	0.001562055	0.000699151	6.89E-05	9.08E-14
D1501	AraC-like ligand binding domain	0.1868565	0.144279258	0.148682905	0.002392023	0.014683541	0.319079235	0.055012984	0.053747614	1.01E-05	3.71E-05	0.001562055	0.000699151	6.89E-05	9.08E-14
D15452	phosphatase activity	0.187429985	0.14809449	0.148682905	0.002406742	0.015092926	0.319079235	0.0551315	0.054475566	7.73E-06	3.74E-05	0.001554803	0.000684707	6.89E-05	9.33E-14
D2238	Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family	0.187429985	0.14809449	0.148682905	0.002406742	0.015092926	0.319079235	0.0551315	0.054475566	7.73E-06	3.74E-05	0.001554803	0.000684707	6.89E-05	9.33E-14
D6494	D-isomer specific 2-hydroxyacid dehydrogenase	0.187429985	0.14809449	0.148682905	0.002406742	0.015092926	0.319079235	0.0551315	0.054475566	7.73E-06	3.74E-05	0.001554803	0.000684707	6.89E-05	9.33E-14
D10507	integrase family	0.183159621	0.137104285	0.148682905	0.002414131	0.014283732	0.344545604	0.057300505	0.052670545	1.25E-05	4.47E-05	0.001781907	0.000825015	9.64E-05	1.92E-13
D5365	"COG1172 Ribose xylose arabinose galactoside ABC-type transport systems, permease components"	0.183159621	0.137104285	0.148682905	0.002414131	0.014283732	0.344545604	0.057300505	0.052670545	1.25E-05	4.47E-05	0.001781907	0.000825015	9.64E-05	1.92E-13
D7078	DNA topoisomerase	0.183159621	0.137104285	0.148682905	0.002414131	0.014283732	0.344545604	0.057300505	0.052670545	1.25E-05	4.47E-05	0.001781907	0.000825015	9.64E-05	1.92E-13
D15846	Plays a role in the regulation of phosphate uptake	0.18287745	0.140537943	0.148682905	0.002406742	0.014283732	0.319079235	0.056934276	0.053506729	1.02E-05	4.57E-05	0.001790101	0.000816585	6.89E-05	2.02E-13
D11463	MATE efflux family protein	0.183442107	0.133503982	0.148682905	0.002384693	0.013893319	0.344545604	0.059160395	0.049997743	1.24E-05	4.51E-05	0.001814886	0.000837806	6.73E-05	1.77E-13
D17746	"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone"	0.183442107	0.133503982	0.148682905	0.002384693	0.013893319	0.344545604	0.059160395	0.049997743	1.24E-05	4.51E-05	0.001814886	0.000837806	6.73E-05	1.77E-13
D19734	"the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA"	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D19116	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D17915	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D17538	Queuosine biosynthesis protein QueC	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D16267	protein conserved in archaea	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D15702	Phosphoribosylformylglycinamidine cyclo-ligase	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D15676	Phosphoribosyl transferase domain	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D14086	"PFAM extracellular solute-binding protein, family 5"	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D14075	PFAM Exonuclease VII large subunit	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D13299	Participates in initiation and elongation during chromosome replication	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D12936	omega peptidase activity	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D10147	HTH-like domain	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D8208	EXOIII	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D8004	endonuclease containing a URI domain	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D6149	Could be responsible for synthesis of pseudouridine from uracil-55 in the psi GC loop of transfer RNAs	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D5426	COG1335 Amidases related to nicotinamidase	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D3817	"Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine"	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D3611	"Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively"	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D1155	Alpha beta hydrolase	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D3021	Branched-chain amino acid ATP-binding cassette transporter	0.386378118	0.244995462	0.201005788	0.005515788	0.036531315	0.289689363	0.047203942	0.057521041	0.000475025	1.01E-06	0.000154421	5.47E-05	5.15E-06	6.67E-21
D17351	Putative lysophospholipase	0.385863295	0.251175103	0.201005788	0.005584412	0.0375118	0.289689363	0.045491827	0.060847907	0.000477994	9.98E-07	0.000150527	5.36E-05	8.31E-06	7.93E-21
D14608	PFAM periplasmic binding protein	0.385863295	0.251175103	0.201005788	0.005584412	0.0375118	0.289689363	0.045491827	0.060847907	0.000477994	9.98E-07	0.000150527	5.36E-05	8.31E-06	7.93E-21
D7875	E1-E2 ATPase	0.385863295	0.251175103	0.201005788	0.005584412	0.0375118	0.289689363	0.045491827	0.060847907	0.000477994	9.98E-07	0.000150527	5.36E-05	8.31E-06	7.93E-21
D6228	Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)	0.385863295	0.251175103	0.201005788	0.005584412	0.0375118	0.289689363	0.045491827	0.060847907	0.000477994	9.98E-07	0.000150527	5.36E-05	8.31E-06	7.93E-21
D2588	Belongs to the ribulose-phosphate 3-epimerase family	0.385863295	0.251175103	0.201005788	0.005584412	0.0375118	0.289689363	0.045491827	0.060847907	0.000477994	9.98E-07	0.000150527	5.36E-05	8.31E-06	7.93E-21
D3405	"Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS"	0.385863295	0.251175103	0.201005788	0.005584412	0.0375118	0.289689363	0.045491827	0.060847907	0.000477994	9.98E-07	0.000150527	5.36E-05	8.31E-06	7.93E-21
D21350	transposase activity	0.386893348	0.257459913	0.201005788	0.005619005	0.038514013	0.289689363	0.045604358	0.061740868	0.000384763	1.01E-06	0.000149567	5.21E-05	8.31E-06	8.40E-21
D19742	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine	0.386893348	0.257459913	0.201005788	0.005619005	0.038514013	0.289689363	0.045604358	0.061740868	0.000384763	1.01E-06	0.000149567	5.21E-05	8.31E-06	8.40E-21
D5061	COG0210 Superfamily I DNA and RNA helicases	0.386893348	0.257459913	0.201005788	0.005619005	0.038514013	0.289689363	0.045604358	0.061740868	0.000384763	1.01E-06	0.000149567	5.21E-05	8.31E-06	8.40E-21
D13098	"Oxidoreductase family, C-terminal alpha/beta domain"	0.386893348	0.257459913	0.201005788	0.005619005	0.038514013	0.289689363	0.045604358	0.061740868	0.000384763	1.01E-06	0.000149567	5.21E-05	8.31E-06	8.40E-21
D22327	Xanthine uracil	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D20004	"TIGRFAM acetolactate synthase, large subunit, biosynthetic type"	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D19027	SNF2 family N-terminal domain	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D17846	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D16176	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D15935	"Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII"	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D13935	"PFAM Cobyrinic acid a,c-diamide synthase"	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D12189	"Murein-degrading enzyme that degrades murein glycan strands and insoluble, high-molecular weight murein sacculi, with the concomitant formation of a 1,6-anhydromuramoyl product. Lytic transglycosylases (LTs) play an integral role in the metabolism of the peptidoglycan (PG) sacculus. Their lytic action creates space within the PG sacculus to allow for its expansion as well as for the insertion of various structures such as secretion systems and flagella"	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D10332	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit"	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D9801	"helix_turn_helix, Arsenical Resistance Operon Repressor"	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D9778	helicase C-terminal domain protein	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D5624	COG2801 Transposase and inactivated derivatives	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D5405	COG1253 Hemolysins and related proteins containing CBS domains	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D3393	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D2498	Belongs to the OMP decarboxylase family. Type 2 subfamily	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D1282	amino acid carrier protein	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D2246	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family	0.383808094	0.257051261	0.201005788	0.005601685	0.0375118	0.264563404	0.043396709	0.064483341	0.000505478	1.01E-06	0.000148613	5.32E-05	8.56E-06	9.98E-21
D22191	Virulence-associated protein E	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D21804	UDP-galactopyranose mutase	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D21388	"Transposase, Mutator family"	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D17620	Recombinase	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D17023	protein serine/threonine kinase activity	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D11075	Likely ribonuclease with RNase H fold.	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D8486	FHA domain	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D5179	"COG0553 Superfamily II DNA RNA helicases, SNF2 family"	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D5701	COG3547 Transposase and inactivated derivatives	0.384834877	0.263434751	0.201005788	0.005636372	0.038514013	0.264563404	0.043504961	0.065418977	0.000407336	1.02E-06	0.000147665	5.17E-05	8.56E-06	1.06E-20
D15473	phosphate ion transmembrane transport	0.382270987	0.256235274	0.201005788	0.005464808	0.035572208	0.218816045	0.04426897	0.062191296	0.00044765	1.07E-06	0.000155409	5.43E-05	2.07E-06	9.98E-21
D11462	Mate efflux family protein	0.382270987	0.256235274	0.201005788	0.005464808	0.035572208	0.218816045	0.04426897	0.062191296	0.00044765	1.07E-06	0.000155409	5.43E-05	2.07E-06	9.98E-21
D7964	elongation factor P	0.382270987	0.256235274	0.201005788	0.005464808	0.035572208	0.218816045	0.04426897	0.062191296	0.00044765	1.07E-06	0.000155409	5.43E-05	2.07E-06	9.98E-21
D2474	Belongs to the N(4) N(6)-methyltransferase family	0.382270987	0.256235274	0.201005788	0.005464808	0.035572208	0.218816045	0.04426897	0.062191296	0.00044765	1.07E-06	0.000155409	5.43E-05	2.07E-06	9.98E-21
D2528	Belongs to the peptidase S11 family	0.382270987	0.256235274	0.201005788	0.005464808	0.035572208	0.218816045	0.04426897	0.062191296	0.00044765	1.07E-06	0.000155409	5.43E-05	2.07E-06	9.98E-21
D22149	VanZ like family	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D18765	sigma factor activity	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D12289	N-terminal TM domain of oligopeptide transport permease C	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D9980	Histidine kinase-like ATPases	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D9972	histidine kinase HAMP region domain protein	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D5687	"COG3451 Type IV secretory pathway, VirB4 components"	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D5414	"COG1299 Phosphotransferase system, fructose-specific IIC component"	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D5325	COG1073 Hydrolases of the alpha beta superfamily	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D179	2Fe-2S iron-sulfur cluster binding domain	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
D5208	COG0624 Acetylornithine deacetylase Succinyl-diaminopimelate desuccinylase and related deacylases	0.381759437	0.262605138	0.201005788	0.005532875	0.036531315	0.218816045	0.042645136	0.065733269	0.000450462	1.06E-06	0.000151492	5.32E-05	3.45E-06	1.18E-20
