	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Lysobacter|s_Lysobacter capsici	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Lysobacter|s_Lysobacter capsici	LEfSe	1	1.510669426	0.000385453	0.000385453	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Jiangellales|f_Jiangellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Jiangellales|f_Jiangellaceae	LEfSe	1	1.510351346	8.92E-10	8.92E-10	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Planococcus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Planococcus	LEfSe	3	1.509563182	1.15E-13	1.15E-13	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Lysobacter|s_Lysobacter enzymogenes	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Lysobacter|s_Lysobacter enzymogenes	LEfSe	1	1.508304168	0.039942601	0.039942601	*
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Alkalihalobacillus|s_Alkalihalobacillus sp. LMS39	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Alkalihalobacillus|s_Alkalihalobacillus sp. LMS39	LEfSe	1	1.508162179	3.06E-07	3.06E-07	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas fulva	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas fulva	LEfSe	1	1.50808731	0.014634529	0.014634529	*
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Chromobacteriaceae|g_Jeongeupia|s_Jeongeupia sp. USM3	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Chromobacteriaceae|g_Jeongeupia|s_Jeongeupia sp. USM3	LEfSe	1	1.507609275	5.21E-09	5.21E-09	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Alkalihalobacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Alkalihalobacillus	LEfSe	3	1.507539331	3.26E-12	3.26E-12	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_Schaalia meyeri	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_Schaalia meyeri	LEfSe	1	1.507021722	0.000198174	0.000198174	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces howellii	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces howellii	LEfSe	1	1.506939661	6.57E-06	6.57E-06	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Megalodesulfovibrio|s_Megalodesulfovibrio gigas	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Megalodesulfovibrio|s_Megalodesulfovibrio gigas	LEfSe	1	1.506815214	0.000382386	0.000382386	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas sp. B11D7D	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas sp. B11D7D	LEfSe	1	1.506685978	0.000391213	0.000391213	***
d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Ureaplasma|s_Ureaplasma parvum	1 - 2 - 3 - 4	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Ureaplasma|s_Ureaplasma parvum	LEfSe	1	1.506238856	0.000222505	0.000222505	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora sp. WMMC415	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora sp. WMMC415	LEfSe	1	1.50551217	0.007044771	0.007044771	**
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Hylemonella	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Hylemonella	LEfSe	1	1.505240141	0.000109806	0.000109806	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Dermabacteraceae|g_Dermabacter	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Dermabacteraceae|g_Dermabacter	LEfSe	1	1.504839141	1.21E-05	1.21E-05	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Limosilactobacillus|s_Limosilactobacillus reuteri	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Limosilactobacillus|s_Limosilactobacillus reuteri	LEfSe	3	1.503296879	1.57E-06	1.57E-06	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Rhodocyclales|f_Rhodocyclaceae|g_Aromatoleum	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Rhodocyclales|f_Rhodocyclaceae|g_Aromatoleum	LEfSe	1	1.50328161	5.75E-09	5.75E-09	***
d_Bacteria|p_Chloroflexi|c_Dehalococcoidia|o_Dehalococcoidales|f_Dehalococcoidaceae|g_Dehalococcoides|s_Dehalococcoides mccartyi	1 - 2 - 3 - 4	d_Bacteria|p_Chloroflexi|c_Dehalococcoidia|o_Dehalococcoidales|f_Dehalococcoidaceae|g_Dehalococcoides|s_Dehalococcoides mccartyi	LEfSe	3	1.5031856	2.34E-13	2.34E-13	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Lawsonellaceae|g_Lawsonella	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Lawsonellaceae|g_Lawsonella	LEfSe	1	1.502850272	0.009711107	0.009711107	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium sanguinis	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium sanguinis	LEfSe	1	1.502753452	6.60E-05	6.60E-05	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Hapalosiphonaceae	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Hapalosiphonaceae	LEfSe	1	1.502099219	3.18E-05	3.18E-05	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Dysgonomonadaceae|g_Dysgonomonas	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Dysgonomonadaceae|g_Dysgonomonas	LEfSe	3	1.500887207	1.03E-08	1.03E-08	***
d_Fungi|p_Ascomycota|c_Eurotiomycetes|o_Eurotiales|f_Aspergillaceae|g_Aspergillus|s_Aspergillus fumigatus	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Eurotiomycetes|o_Eurotiales|f_Aspergillaceae|g_Aspergillus|s_Aspergillus fumigatus	LEfSe	1	1.499663099	0.031368179	0.031368179	*
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Malaciobacter|s_Malaciobacter mytili	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Malaciobacter|s_Malaciobacter mytili	LEfSe	1	1.498922549	0.000427667	0.000427667	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Lawsonellaceae|g_Lawsonella|s_Lawsonella clevelandensis	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Lawsonellaceae|g_Lawsonella|s_Lawsonella clevelandensis	LEfSe	1	1.498739613	0.009711107	0.009711107	**
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Chitinophaga	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Chitinophaga	LEfSe	3	1.498168258	2.01E-09	2.01E-09	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Nitrosomonadales|f_Sterolibacteriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Nitrosomonadales|f_Sterolibacteriaceae	LEfSe	3	1.497409062	4.73E-07	4.73E-07	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas sp. Cra20	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas sp. Cra20	LEfSe	1	1.496196341	1.50E-06	1.50E-06	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Chromobacteriaceae|g_Laribacter|s_Laribacter hongkongensis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Chromobacteriaceae|g_Laribacter|s_Laribacter hongkongensis	LEfSe	1	1.496130601	4.62E-05	4.62E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium avidum	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium avidum	LEfSe	1	1.494124284	6.75E-07	6.75E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora echinaurantiaca	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora echinaurantiaca	LEfSe	1	1.493341096	0.000724908	0.000724908	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Nitrosomonadales|f_Methylophilaceae|g_Methylobacillus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Nitrosomonadales|f_Methylophilaceae|g_Methylobacillus	LEfSe	1	1.49227628	0.001355802	0.001355802	**
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Caproicibacterium|s_Caproicibacterium amylolyticum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Caproicibacterium|s_Caproicibacterium amylolyticum	LEfSe	3	1.492203615	1.60E-14	1.60E-14	***
d_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Deferribacter	1 - 2 - 3 - 4	d_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Deferribacter	LEfSe	1	1.491835126	0.000588203	0.000588203	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Jiangellales|f_Jiangellaceae|g_Jiangella	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Jiangellales|f_Jiangellaceae|g_Jiangella	LEfSe	1	1.491342302	8.92E-10	8.92E-10	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Calotrichaceae	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Calotrichaceae	LEfSe	3	1.490593077	7.58E-07	7.58E-07	***
d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Brachyspirales|f_Brachyspiraceae|g_Brachyspira|s_Brachyspira pilosicoli	1 - 2 - 3 - 4	d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Brachyspirales|f_Brachyspiraceae|g_Brachyspira|s_Brachyspira pilosicoli	LEfSe	3	1.490116091	3.70E-10	3.70E-10	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Xanthobacteraceae|g_Starkeya|s_Starkeya novella	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Xanthobacteraceae|g_Starkeya|s_Starkeya novella	LEfSe	1	1.489772063	0.006507918	0.006507918	**
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Pseudodesulfovibrio	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Pseudodesulfovibrio	LEfSe	3	1.489288388	1.68E-09	1.68E-09	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Curvibacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Curvibacter	LEfSe	1	1.488862546	0.026989147	0.026989147	*
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae	1 - 2 - 3 - 4	d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae	LEfSe	3	1.487057331	1.50E-12	1.50E-12	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio fairfieldensis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio fairfieldensis	LEfSe	3	1.486194835	1.07E-06	1.07E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Marinomonas|s_Marinomonas arctica	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Oceanospirillales|f_Oceanospirillaceae|g_Marinomonas|s_Marinomonas arctica	LEfSe	1	1.486126299	2.61E-08	2.61E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Cellulosilyticum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Cellulosilyticum	LEfSe	3	1.485361294	1.61E-13	1.61E-13	***
d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Deinococcales|f_Deinococcaceae|g_Deinococcus|s_Deinococcus sp. NW-56	1 - 2 - 3 - 4	d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Deinococcales|f_Deinococcaceae|g_Deinococcus|s_Deinococcus sp. NW-56	LEfSe	1	1.483377644	3.08E-11	3.08E-11	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Christensenellaceae|g_Christensenella|s_Christensenella sp. Marseille-P3954	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Christensenellaceae|g_Christensenella|s_Christensenella sp. Marseille-P3954	LEfSe	3	1.482758606	1.73E-12	1.73E-12	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Kribbellaceae|g_Kribbella	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Kribbellaceae|g_Kribbella	LEfSe	1	1.482127375	1.61E-05	1.61E-05	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfuromonadales|f_Desulfuromonadaceae|g_Desulfuromonas	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfuromonadales|f_Desulfuromonadaceae|g_Desulfuromonas	LEfSe	3	1.481013225	1.29E-10	1.29E-10	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella sp. E2-28	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella sp. E2-28	LEfSe	3	1.479517447	1.20E-08	1.20E-08	***
d_Fungi|p_Ascomycota|c_Dothideomycetes|o_Mycosphaerellales|f_Mycosphaerellaceae|g_Cercospora	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Dothideomycetes|o_Mycosphaerellales|f_Mycosphaerellaceae|g_Cercospora	LEfSe	1	1.479317265	0.000183595	0.000183595	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. F3-2	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. F3-2	LEfSe	1	1.478388623	0.024099358	0.024099358	*
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora carbonacea	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora carbonacea	LEfSe	1	1.47829051	3.50E-05	3.50E-05	***
d_Bacteria|p_Actinobacteria|c_Rubrobacteria|o_Rubrobacterales|f_Rubrobacteraceae|g_Rubrobacter|s_Rubrobacter xylanophilus	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Rubrobacteria|o_Rubrobacterales|f_Rubrobacteraceae|g_Rubrobacter|s_Rubrobacter xylanophilus	LEfSe	1	1.478047074	0.000164195	0.000164195	***
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Selenomonas sp. oral taxon 126	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Selenomonas sp. oral taxon 126	LEfSe	3	1.477878719	2.22E-10	2.22E-10	***
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelothrix	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelothrix	LEfSe	3	1.477774129	6.65E-13	6.65E-13	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Thermomonosporaceae|g_Actinomadura|s_Actinomadura sp. WMMB 499	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Thermomonosporaceae|g_Actinomadura|s_Actinomadura sp. WMMB 499	LEfSe	1	1.477678284	2.26E-05	2.26E-05	***
d_Fungi|p_Ascomycota|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Botrytis	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Leotiomycetes|o_Helotiales|f_Sclerotiniaceae|g_Botrytis	LEfSe	1	1.477654418	1.94E-05	1.94E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter deleyi	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter deleyi	LEfSe	1	1.476880923	0.000193313	0.000193313	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Aeromonadales|f_Aeromonadaceae|g_Aeromonas|s_Aeromonas jandaei	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Aeromonadales|f_Aeromonadaceae|g_Aeromonas|s_Aeromonas jandaei	LEfSe	1	1.476803242	1.99E-05	1.99E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Micrococcaceae|g_Glutamicibacter	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Micrococcaceae|g_Glutamicibacter	LEfSe	3	1.476581585	9.43E-10	9.43E-10	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Thermoactinomycetaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Thermoactinomycetaceae	LEfSe	3	1.475458182	6.60E-12	6.60E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus	LEfSe	3	1.47529849	1.10E-10	1.10E-10	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Calotrichaceae|g_Calothrix	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Calotrichaceae|g_Calothrix	LEfSe	3	1.475117874	7.58E-07	7.58E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Lawsonellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Lawsonellaceae	LEfSe	1	1.473983424	0.009723038	0.009723038	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Xanthomonas|s_Xanthomonas citri	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Xanthomonas|s_Xanthomonas citri	LEfSe	1	1.473758638	0.002232492	0.002232492	**
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas nasdae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas nasdae	LEfSe	1	1.472556228	0.002878244	0.002878244	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides|s_Nocardioides euryhalodurans	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides|s_Nocardioides euryhalodurans	LEfSe	1	1.472120433	0.003422101	0.003422101	**
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Myxococcales|f_Sandaracinaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Myxococcales|f_Sandaracinaceae	LEfSe	3	1.470212834	2.41E-14	2.41E-14	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Hylemonella|s_Hylemonella gracilis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Hylemonella|s_Hylemonella gracilis	LEfSe	1	1.469765098	0.000109806	0.000109806	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium vitaeruminis	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium vitaeruminis	LEfSe	1	1.469741134	1.08E-06	1.08E-06	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Streptosporangiaceae|g_Nonomuraea	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Streptosporangiaceae|g_Nonomuraea	LEfSe	3	1.469469306	2.64E-11	2.64E-11	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lacticaseibacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lacticaseibacillus	LEfSe	3	1.468986348	1.28E-08	1.28E-08	***
d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Naumovozyma|s_Naumovozyma castellii	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Naumovozyma|s_Naumovozyma castellii	LEfSe	1	1.466685904	0.000395265	0.000395265	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Herbinix	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Herbinix	LEfSe	3	1.466464461	5.16E-13	5.16E-13	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Dactylosporangium|s_Dactylosporangium vinaceum	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Dactylosporangium|s_Dactylosporangium vinaceum	LEfSe	1	1.465469367	1.46E-08	1.46E-08	***
d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Nakaseomyces|s_[Candida] glabrata	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Nakaseomyces|s_[Candida] glabrata	LEfSe	1	1.465361653	3.58E-06	3.58E-06	***
