Term	group	Group	id	Database	ID	Inputnumber	Backgroundnumber	P.Value	CorrectedP.Value	Input	Hyperlink	i	Database.y	ID.y	Inputnumber.y	Backgroundnumber.y	P.Value.y	CorrectedP.Value.y	Input.y	Hyperlink.y	id	Database	ID	Inputnumber	Backgroundnumber	P.Value	CorrectedP.Value	Input	Hyperlink
ficolin-1-rich granule lumen	Early Advanced	Early	gene_taxa_component_1	Gene Ontology	GO:1904813	15	123	3.54E-13	8.49E-11	AGL|DDX3X|CDA|COMMD3|HMGB1|CAB39|QPCT|PSMB7|ACTR1B|CAPN1|ACLY|APEH|MNDA|GYG1|XRCC6	http://amigo.geneontology.org/amigo/term/GO:1904813																		
unfolded protein binding	Early Advanced	Early	gene_taxa_component_1	Gene Ontology	GO:0051082	13	115	3.22E-11	4.95E-09	SIL1|NACA|PFDN5|PFDN4|CCT2|CCT7|CCT4|DNAJB4|TAPBP|AFG3L2|SERPINH1|CANX|HSPA1L	http://amigo.geneontology.org/amigo/term/GO:0051082																		
protein processing in endoplasmic reticulum	Early Advanced	Early	gene_taxa_component_1	KEGG PATHWAY	hsa04141	14	165	1.90E-10	2.71E-08	SIL1|RAD23B|CAPN1|EDEM3|BAX|UBE2G2|SSR4|HSPBP1|SEC24C|SVIP|SEC61G|NPLOC4|CANX|HSPA1L	http://www.genome.jp/kegg-bin/show_pathway?hsa04141/hsa:823%09red/hsa:821%09red/hsa:23480%09red/hsa:3305%09red/hsa:6748%09red/hsa:258010%09red/hsa:581%09red/hsa:23640%09red/hsa:80267%09red/hsa:7327%09red/hsa:5887%09red/hsa:55666%09red/hsa:9632%09red/hsa:64374%09red																		
endoplasmic reticulum	Early Advanced	Early	gene_taxa_component_7	Gene Ontology	GO:0005783	36	1018	9.33E-10	1.87E-07	BCL2L1|WASHC5|GOLT1B|SEC23B|SPCS3|UVRAG|CLDN8|CLN6|CLN5|CLN3|UBE2G2|LPCAT1|UGGT2|SGPP2|UGGT1|OS9|AQP5|POMP|EXTL3|PRKCE|CTSZ|ITPR1|ICMT|PCYT1A|SEMA3B|ERLIN1|RNF185|TRAPPC5|TMEM50B|FIS1|TMTC2|CREB3L4|DDRGK1|SCN5A|TMEM43|CRTAP	http://amigo.geneontology.org/amigo/term/GO:0005783																		
identical protein binding	Early Advanced	Advanced	gene_taxa_component_9	Gene Ontology	GO:0042802	136	1456	1.53E-27	7.90E-25	AOC1|AOC3|ZCCHC17|FHIT|CRKL|DYNLL2|NISCH|POLG2|TGM2|FBP1|FBLN1|DGCR8|STK26|PRPF31|COMMD1|DYNLT1|MAP3K7|IRAK1|PIP4K2C|OIP5|SH3GLB1|VWA1|PAFAH1B1|PAFAH1B2|MLYCD|RBBP8|CXCL5|FN1|ROBO1|SYT1|L3MBTL3|SNX2|SNX1|RASGRP1|SNX8|RBPMS2|MX1|SLC31A1|GLUL|OXCT1|PNMA5|XRCC4|FLG|LRRK1|NT5C|HSPB1|RIDA|THBS1|DERL1|TFRC|PPP1R9A|TNS2|DHPS|DPYSL2|TNPO3|MRE11|NUDT5|ZNF24|MAP1S|FGF2|SDC2|SNCA|ATXN1|CLDN12|APIP|EHD1|LRPAP1|TLE1|TNFSF11|EIF2B1|CD6|COL2A1|PIK3AP1|STAT6|STAT4|ASPA|LCN2|TPM2|CBY1|ALAS1|NECTIN1|PSMA7|ALDH18A1|HNRNPC|MRM3|DES|ILDR1|RXRA|VTN|GMEB2|LGALS1|RNF20|MCEMP1|ALK|NUP54|NIF3L1|EIF2AK3|COL1A2|BLMH|HSP90AA1|CPN1|HLCS|NMI|CD53|ZBED1|CRYAB|BAX|NDE1|MICU1|ZNF3|FAP|FYN|RB1|SELENOK|ETS1|PEF1|YWHAE|ITGB3|TRAF6|UXS1|HSPB8|VCP|ESD|PADI4|GTPBP2|CTNNA2|SQSTM1|PARD3|SLC16A1|ABI3|RBMX|ITPA|EBP|MAPT|C1R|AHCY	http://amigo.geneontology.org/amigo/term/GO:0042802																		
ficolin-1-rich granule lumen	Early Advanced	Advanced	gene_taxa_component_8	Gene Ontology	GO:1904813	23	123	3.21E-11	5.53E-09	ALAD|HUWE1|PSMD3|HBB|KRT1|GYG1|XRCC6|KCMF1|CAND1|CAPN1|CSTB|PGM1|CAT|PLEKHO2|MMTAG2|MIF|DBNL|PSMD14|TNFAIP6|CALML5|ACLY|EEF2|ILF2	http://amigo.geneontology.org/amigo/term/GO:1904813																		
unfolded protein binding	Early Advanced	Advanced	gene_taxa_component_7	Gene Ontology	GO:0051082	10	115	0.00482528	0.03930351	HSPB6|DNAJA4|RUVBL2|CCT3|HSPA14|DNAJB11|HSP90AB4P|DNAJB4|TCP1|SPG7	http://amigo.geneontology.org/amigo/term/GO:0051082																		
protein processing in endoplasmic reticulum	Early Advanced	Advanced	gene_taxa_component_8	KEGG PATHWAY	hsa04141	17	165	2.05E-05	0.0006974	DNAJA2|SIL1|CAPN1|YOD1|CALR|MBTPS1|ATF6B|EIF2AK4|SEC63|DDOST|SEC31A|FBXO6|UFD1|PLAA|MAPK9|SEC13|HSPBP1	http://www.genome.jp/kegg-bin/show_pathway?hsa04141/hsa:22872%09red/hsa:9373%09red/hsa:1388%09red/hsa:6396%09red/hsa:823%09red/hsa:55432%09red/hsa:11231%09red/hsa:7353%09red/hsa:23640%09red/hsa:811%09red/hsa:440275%09red/hsa:5601%09red/hsa:26270%09red/hsa:1650%09red/hsa:64374%09red/hsa:10294%09red/hsa:8720%09red																		
endoplasmic reticulum	Early Advanced	Advanced	gene_taxa_component_5	Gene Ontology	GO:0005783	61	1018	2.26E-13	4.13E-11	BCL2L1|TRAPPC2L|CAVIN1|CRELD2|ALG3|DUOX2|ITGA5|MAN1B1|PUM3|UBAC2|ATP11B|ACSL5|SLC30A1|POFUT1|HERPUD1|SLC37A4|AHSA1|TPD52|PLOD1|DNAJB11|TMCC3|OAS1|DNAJB12|LPCAT4|CIB1|UBXN4|EBP|FDFT1|SLC30A9|CCDC134|GNPNAT1|HSPA13|PIGG|CTSA|TMPRSS4|RTN1|PRKCD|RINT1|RER1|EMC2|ALG10|GRN|LARS|SLC27A3|SLC27A2|TRAPPC9|SEC22B|ANKLE2|SPAST|EEF1G|MOGS|PDIA3|DNAJC3|PLOD2|PRKACA|NBEAL2|STX18|VWF|MINPP1|A1CF|PXDN	http://amigo.geneontology.org/amigo/term/GO:0005783																		
identical protein binding	Early Advanced	A																											
ficolin-1-rich granule lumen	Early Advanced	A																											
unfolded protein binding	Early Advanced	A																											
protein processing in endoplasmic reticulum	Early Advanced	A																											
endoplasmic reticulum	Early Advanced	A																											
viral transcription	A	A	gene_taxa_component_5	Gene Ontology	GO:0019083	18	108	3.13E-10	3.09E-08	AAAS|RPL35|RPL28|SEH1L|NUP54|RPL27A|RPLP0|RPL32|POM121C|RPL31|RPL15|RPS5|RPS2|NUP107|RPL22|NUP210|RPL26|RPS23	http://amigo.geneontology.org/amigo/term/GO:0019083																		
protein-containing complex	A	A	gene_taxa_component_8	Gene Ontology	GO:0032991	21	623	1.05E-09	1.96E-07	HSP90AB1|ALK|CRKL|RAB3GAP1|CKAP5|PKN2|ARHGEF2|RPL3|EZR|RIPK1|SLC12A7|CASP8|ATP1A1|STT3B|OCLN|PYCARD|ATP2A2|CDC42|KDM1A|TRA2B|ZMPSTE24	http://amigo.geneontology.org/amigo/term/GO:0032991																		
zinc ion binding	A	A	gene_taxa_component_5	Gene Ontology	GO:0008270	46	820	3.75E-08	2.05E-06	EARS2|TRIM33|TRIM32|SEC24B|DNAJC21|MSRB2|PGLYRP2|POLE|TRIM56|P2RX4|TIMM8B|TIMP1|RNF7|GTF2B|PRKACA|ZNF318|TIMM10|PHC2|C2|MT1F|SIRT3|NBR1|ATAD3B|ARIH1|SOD1|MMP9|CA12|PTGR2|SEC24D|DTNA|UBR2|TRIM65|UBR4|SMPDL3B|ADH6|RBX1|ZADH2|TRIM4|PGGT1B|CYLD|ADH1B|SNCA|PHF5A|TRIM2|MMP2|PREP	http://amigo.geneontology.org/amigo/term/GO:0008270																		
"respiratory electron transport, atp synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	A	A	gene_taxa_component_3	Reactome	R-HSA-163200	12	123	4.55E-08	5.79E-06	NDUFA4|ATP5PO|COX5A|NDUFA3|COX7B|ATP5F1A|NDUFA9|COX4I1|SCO2|NDUFAF3|UQCRC2|UQCRC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-163200																		
extracellular space	A	A	gene_taxa_component_1	Gene Ontology	GO:0005615	30	1572	4.76E-08	7.32E-06	BPI|HMGB1|VCAN|CPE|ECM1|C8A|FABP3|FBLN5|CLEC3B|AMBP|GPX3|RNASE3|S100A8|FMOD|APCS|PRDX5|PXN|SPON1|GLIPR2|SOD1|IGKV3-20|SERPINF1|SERPIND1|IGKV3-7|ACTN4|RPL39|TNFAIP2|CD14|LXN|PROCR	http://amigo.geneontology.org/amigo/term/GO:0005615																		
@@huntington disease	Early	Early	gene_taxa_component_1	KEGG PATHWAY	hsa05016	12	193	9.36E-08	6.26E-06	NDUFA7|MT-CO2|SOD1|UQCR10|NDUFB6|BAX|AP2M1|CLTB|NDUFS8|COX6B1|UQCRFS1|DCTN4	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:1173%09red/hsa:4513%09red/hsa:29796%09red/hsa:4701%09red/hsa:581%09red/hsa:1212%09red/hsa:51164%09red/hsa:4712%09red/hsa:7386%09red/hsa:4728%09red/hsa:1340%09red/hsa:6647%09red																		
alzheimer disease	Early	Early	gene_taxa_component_7	KEGG PATHWAY	hsa05010	12	171	2.45E-07	2.28E-05	ATP5PO|NDUFS7|COX7B|NDUFB4|GAPDH|NCSTN|NDUFS3|NDUFS4|NDUFS5|FAS|COX7A2|UQCRC2	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:23385%09red/hsa:4725%09red/hsa:2597%09red/hsa:1349%09red/hsa:7385%09red/hsa:374291%09red/hsa:4722%09red/hsa:355%09red/hsa:4710%09red/hsa:4724%09red/hsa:539%09red/hsa:1347%09red																		
kaposi sarcoma-associated herpesvirus infection	Early	Early	gene_taxa_component_2	KEGG PATHWAY	hsa05167	11	186	1.58E-06	0.00013104	PIK3C3|CASP3|PREX1|IRF9|HLA-G|AKT2|GNG5|CREBBP|PPP3CB|MAPK9|TRAF3	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:836%09red/hsa:5532%09red/hsa:1387%09red/hsa:2787%09red/hsa:5289%09red/hsa:10379%09red/hsa:208%09red/hsa:3135%09red/hsa:5601%09red/hsa:7187%09red/hsa:57580%09red																		
heart development	Early	Early	gene_taxa_component_9	Gene Ontology	GO:0007507	12	189	4.11E-06	0.00044897	TGFB1|TEK|ERBB3|GJA1|CDKN1A|MB|BICC1|LDB3|OXCT1|SMYD2|OPA1|TGFBR2	http://amigo.geneontology.org/amigo/term/GO:0007507																		
protein heterodimerization activity	Early	Early	gene_taxa_component_1	Gene Ontology	GO:0046982	11	297	3.63E-05	0.00097097	CYBB|HIST2H3PS2|ADD1|PPP2R1A|HEXA|LSM5|H2AFY|BAX|NFYC|FXR1|ATP1A1	http://amigo.geneontology.org/amigo/term/GO:0046982																		
focal adhesion	Advanced	Advanced	gene_taxa_component_2	Gene Ontology	GO:0005925	74	418	4.15E-24	1.23E-21	EVL|RPS10|RPS17|ADD1|PLAUR|RPLP1|CD59|RPS19|HSP90B1|SDCBP|PRKAR2A|MPRIP|B2M|ITGA11|ITGAV|CLTC|SHROOM4|PRSS8|MPZL1|IQGAP1|NCKAP1|GSN|SNTB2|APBB1IP|ARHGAP31|ARHGEF7|AHNAK|ARF6|ITGB2|HNRNPK|FOCAD|ARPC2|FLOT1|RAB10|THY1|BSG|AJUBA|YWHAG|PACSIN2|ITGB1|ARL2|CLASP2|CAV1|PGM5|PRUNE1|VCL|ARPC5|GNB2|TNS3|TNC|HYOU1|CYFIP1|CORO2B|RHOG|FLNB|KRAS|RRAS|HACD3|JAK1|CSPG4|CNN2|PTPN12|FHL1|ITGA2B|KIF23|PFN1|NPM1|RPL10A|GNA13|LIMA1|ACTB|TNS4|ACTR3|ARF1	http://amigo.geneontology.org/amigo/term/GO:0005925																		
cellular responses to external stimuli	Advanced	Advanced	gene_taxa_component_2	Reactome	R-HSA-8953897	68	516	2.98E-16	4.51E-14	AAAS|PSMD9|NUPL2|ACD|PSMD5|JUN|MAP2K4|PRKN|CYCS|TUBB|MAP2K3|MAP2K6|CBX8|DCTN3|VDAC1|MAPKAPK3|MAPK14|HSPA1L|CHMP2B|ATG101|MT1X|GABARAPL2|HIGD1A|GABARAP|PRKAG1|PSMD11|MTERF3|AJUBA|PSME4|TXNRD1|MTMR14|PRKAB2|CDK6|PRKAB1|WIPI2|SLC38A9|AMBRA1|PRKAA2|PSME2|CAPZA1|TUBB1|TXN2|ATG4A|LMNB1|MTOR|DYNC1LI2|DYNC1H1|STAT3|PSME1|TUBB6|PSMD4|CAPZA2|COMMD3-BMI1|RPS6KA3|ARNT|PTGES3|CDC26|PSME3|HSPA14|RBBP7|PSMA3|PSMD13|PSMC5|ATG3|ACTR1A|TUBB4B|PSMB9|LAMTOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897																		
rna polymerase ii transcription	Advanced	Advanced	gene_taxa_component_9	Reactome	R-HSA-73857	140	1316	1.05E-15	2.08E-13	SMARCC2|NCBP2|PRKAG1|PRKAG2|AKT2|TNRC6B|TNRC6A|NUDT21|DGCR8|ZNF143|BRD7|STUB1|PCF11|PHC3|WDR61|NABP2|PIP4K2C|AURKA|ZNF689|AURKB|PRMT1|PRMT6|PRMT5|LDB1|THOC1|GTF2F2|CTSV|PCGF5|CBX8|CCND2|KAT5|RBBP5|KIT|CTR9|L3MBTL2|SARNP|NOP2|MED27|MED26|DHX38|SSU72|RAD1|SERPINE1|GTF2E2|APOE|SRSF9|SUPT4H1|MED4|ATRIP|GTF2H3|MRE11|ZNF761|CHEK1|PSMB9|PRKAB1|ARID2|MED30|MED31|PARP1|BLM|GTF2H2|GPAM|POLR2A|PSME1|POLR2I|POLR2H|ZC3H8|TBP|PSMB2|MEF2C|CPSF7|GPX2|AGO1|EIF4A3|GAMT|HDAC7|ASH2L|TNFRSF10C|TNFRSF10B|ELOA|TEC|PSMA6|RBM14|DDB2|C6|TAF6|PAF1|PSMD14|COX4I1|YAP1|TBL1XR1|NELFCD|CTGF|RPRD1B|CDK5|CDK6|SST|PSMB6|CDC40|SMARCE1|TGFB1|KCTD6|MED7|ERCC3|PSMD3|CAT|FOXO3|PITX2|FOXO1|SOX9|ELF1|POLR2E|RMI1|YES1|MED10|HSPD1|BRPF1|MED13|MED15|SUZ12|PSMC1|JAG1|MTA2|PCNA|SMARCB1|RRAGB|SUPT16H|SLC38A9|PRKCB|GTF2H5|GTF2H4|CASC3|ZNF460|COX7A2L|TOPBP1|TOP3A|RPA3|NR2C1|CREBBP|KAT6A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857																		
copi-mediated anterograde transport	Advanced	Advanced	gene_taxa_component_2	Reactome	R-HSA-6807878	29	101	8.87E-15	1.12E-12	SPTAN1|CD59|ARFGAP3|DCTN3|SPTBN1|COPZ2|ARF3|ARF1|ARF4|TUBB6|NAPA|RAB1A|COG7|YKT6|TUBB1|DYNC1LI2|DYNC1H1|CAPZA2|CAPZA1|TUBB4B|STX5|TUBB|ARCN1|ANK2|GOLGB1|ACTR1A|GOSR2|COG3|COPB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807878																		
azurophil granule lumen	Advanced	Advanced	gene_taxa_component_2	Gene Ontology	GO:0035578	27	90	3.04E-14	3.40E-12	ELANE|CREG1|SDCBP|IST1|PRSS2|PRSS8|CPPED1|C6orf120|RETN|NPC2|PYGB|PYCARD|HEBP2|PRTN3|CTSC|GALNS|UNC13D|PADI2|DYNC1H1|FTL|TOLLIP|TUBB4B|TUBB|AZU1|NAPRT|MPO|FUCA1	http://amigo.geneontology.org/amigo/term/GO:0035578																		
